author	section	date	title	url	plethora	copious
Cameron Sheppard	news	January 19, 2022 2:26 pm	WA lawmakers propose making companies responsible for recycling...	https://www.mi-reporter.com/news/wa-lawmakers-propose-making-companies-responsible-for-recycling-improvements/	0	0
Jerry Cornfield	news	January 19, 2022 2:13 pm	Inslee: Officials’ lies about election results should be...	https://www.mi-reporter.com/news/inslee-officials-lies-about-election-results-should-be-crime/	0	0
Conor Wilson	news	January 19, 2022 5:30 am	WSDOT names contractor for State Route 18 intersection...	https://www.mi-reporter.com/news/wsdot-names-contractor-for-state-route-18-intersection-project/	0	0
Andy Nystrom	news	January 18, 2022 6:00 pm	Pair of school levy renewals are on the...	https://www.mi-reporter.com/news/pair-of-school-levy-renewals-are-on-the-special-election-ballot/	0	0
	news	January 18, 2022 12:30 pm	Community conversation about diversity, equity and inclusion set...	https://www.mi-reporter.com/news/community-conversation-about-diversity-equity-and-inclusion-set-for-feb-2/	0	0
Andy Nystrom	news	January 17, 2022 7:30 am	‘It makes you feel that you’re making a...	https://www.mi-reporter.com/news/it-makes-you-feel-that-youre-making-a-difference/	0	0
	news	January 17, 2022 5:30 am	County auditor finds agencies fall short on emergency...	https://www.mi-reporter.com/news/county-auditor-finds-agencies-fall-short-on-emergency-services/	0	0
Andy Nystrom	news	January 14, 2022 3:30 pm	Search process begins for new school district superintendent	https://www.mi-reporter.com/news/search-process-begins-for-new-school-district-superintendent/	0	0
Reporter Staff	news	January 14, 2022 3:30 pm	Burglary suspects captured on resident’s video | Mercer...	https://www.mi-reporter.com/news/burglary-suspects-captured-on-residents-video-mercer-island-police-blotter/	0	0
	news	January 14, 2022 10:30 am	Reed will discuss Imagine Housing at Rotary meeting...	https://www.mi-reporter.com/news/reed-will-discuss-imagine-housing-at-rotary-meeting-on-jan-18/	0	0
Andy Nystrom	news	January 13, 2022 4:30 pm	School district to offer Zoom kindergarten information nights	https://www.mi-reporter.com/news/school-district-to-offer-zoom-kindergarten-information-nights/	0	0
Jerry Cornfield	news	January 13, 2022 2:42 pm	Surgeries paused, National Guard deployed to assist hospitals	https://www.mi-reporter.com/news/surgeries-paused-national-guard-deployed-to-assist-hospitals/	0	0
Cameron Sheppard	news	January 12, 2022 4:25 pm	Trash piles up in King County neighborhoods after...	https://www.mi-reporter.com/news/trash-piles-up-in-king-county-neighborhoods-after-agency-postpones-service-for-weeks/	0	0
Cameron Sheppard	news	January 12, 2022 2:30 pm	King County Council approves new leadership, committee structure...	https://www.mi-reporter.com/news/council-approves-new-leadership-committee-structure-and-assignments/	0	0
Cameron Sheppard	news	January 11, 2022 4:30 pm	King County’s 4Culture to offer federal relief funds...	https://www.mi-reporter.com/news/king-countys-4culture-to-offer-federal-relief-funds-to-cultural-producers-impacted-by-the-pandemic/	0	0
Andy Nystrom	news	January 11, 2022 4:30 pm	Riley Cove, it is: Mercer Island bay will...	https://www.mi-reporter.com/news/riley-cove-it-is-mercer-island-bay-will-be-named-after-world-war-ii-hero/	0	0
	news	January 11, 2022 11:30 am	Styrofoam collection event on tap for February	https://www.mi-reporter.com/news/styrofoam-collection-event-on-tap-for-february/	0	0
Cameron Sheppard	news	January 11, 2022 10:45 am	Widespread burnout among healthcare workers prompts change at...	https://www.mi-reporter.com/news/widespread-burnout-among-healthcare-workers-prompts-change-at-hospitals/	0	0
	news	January 11, 2022 8:30 am	MISD staff provides COVID-19 testing kits for students	https://www.mi-reporter.com/news/misd-staff-provides-covid-19-testing-kits-for-students/	0	0
Henry Stewart-Wood	news	January 10, 2022 12:50 pm	Washington Democrats introduce bills clarifying police reforms	https://www.mi-reporter.com/news/washington-democrats-introduce-bills-clarifying-police-reforms/	0	0
Andy Nystrom	news	January 8, 2022 8:30 am	Challenge Success team members discuss finding balance during...	https://www.mi-reporter.com/news/challenge-success-team-members-discuss-finding-balance-during-students-busy-lives/	0	0
Cameron Sheppard	news	January 8, 2022 5:30 am	Postal workers concerned about USPS consolidation, impact on...	https://www.mi-reporter.com/news/postal-workers-concerned-about-usps-consolidation-impact-on-regions-mail-delivery/	0	0
Andy Nystrom	news	January 7, 2022 7:00 pm	MISD reports 202 confirmed COVID cases over the...	https://www.mi-reporter.com/news/misd-reports-202-confirmed-covid-cases-over-the-last-two-weeks/	0	0
Andy Nystrom	news	January 7, 2022 1:30 pm	McGovern and The First Night Project lend a...	https://www.mi-reporter.com/news/mcgovern-and-the-first-night-project-lend-a-hand-with-local-blood-drive/	0	1
Cameron Sheppard	news	January 7, 2022 1:00 pm	Leesa Manion, chief of staff for the King...	https://www.mi-reporter.com/news/chief-of-staff-for-the-king-county-prosecuting-attorneys-office-leesa-manion-to-run-for-county-prosecutor/	0	0
Olivia Sullivan	news	January 7, 2022 12:42 pm	King County Prosecutor Dan Satterberg not seeking re-election	https://www.mi-reporter.com/news/king-county-prosecutor-dan-satterberg-not-seeking-re-election/	0	0
Henry Stewart-Wood	news	January 6, 2022 5:45 pm	Health care leaders declare statewide crisis, request action	https://www.mi-reporter.com/news/health-care-leaders-declare-statewide-crisis-request-action/	0	0
Reporter Staff	news	January 6, 2022 9:30 am	Police report that a person was robbed at...	https://www.mi-reporter.com/news/police-report-that-a-person-was-robbed-at-an-atm-on-christmas-day-mercer-island-police-blotter/	0	0
	news	January 6, 2022 8:30 am	Rotarians help the homeless	https://www.mi-reporter.com/news/rotarians-help-the-homeless/	0	0
	news	January 5, 2022 5:43 pm	Extended 5-day weather forecast for King County	https://www.mi-reporter.com/news/extended-5-day-weather-forecast-for-king-county/	0	0
	news	January 5, 2022 1:30 pm	Public Works crews tackle copious tasks during snow...	https://www.mi-reporter.com/news/public-works-crews-tackle-copious-tasks-during-snow-storm/	0	0
Andy Nystrom	news	January 4, 2022 6:00 pm	City council elects Nice as new mayor	https://www.mi-reporter.com/news/city-council-elects-nice-as-new-mayor/	0	0
	news	January 4, 2022 2:00 pm	Welcome aboard	https://www.mi-reporter.com/news/welcome-aboard/	0	0
	news	January 4, 2022 1:30 pm	Recology, city open community drop-off collection site this...	https://www.mi-reporter.com/news/recology-city-open-community-drop-off-collection-site-this-week/	0	0
Andy Nystrom	news	January 4, 2022 1:00 pm	City kicks off new year by fully reopening...	https://www.mi-reporter.com/news/city-reopens-community-and-event-center/	0	0
	news	January 4, 2022 9:30 am	MISD switches schools operations to three-hour delay today	https://www.mi-reporter.com/news/misd-switches-schools-operations-to-three-hour-delay-today/	0	0
Hannah Saunders	news	January 3, 2022 2:48 pm	Mercer Island native composes second symphony with Armenian...	https://www.mi-reporter.com/news/mercer-island-native-composes-second-symphony-with-armenian-roots/	0	0
Andy Nystrom	news	January 3, 2022 1:30 pm	Mercer Island City Council will elect new mayor...	https://www.mi-reporter.com/news/mercer-island-city-council-will-elect-new-mayor-at-tuesdays-meeting/	0	0
Jerry Cornfield	news	January 3, 2022 11:30 am	New laws bring changes to minimum wage, plastic...	https://www.mi-reporter.com/news/new-laws-bring-changes-to-minimum-wage-plastic-silverware-voting-rights-for-felons/	0	0
	news	January 3, 2022 8:30 am	District accepting nominations for MIHS 2022 Pathfinder Alumni...	https://www.mi-reporter.com/news/district-accepting-nominations-for-mihs-2022-pathfinder-alumni-awards/	0	0
	news	January 3, 2022 8:30 am	Community appreciates its police officers	https://www.mi-reporter.com/news/community-appreciates-its-police-officers/	0	0
	news	January 3, 2022 8:20 am	MISD schools will operate on a two-hour delay...	https://www.mi-reporter.com/news/misd-schools-will-operate-on-a-two-hour-delay-today/	0	0
Jerry Cornfield	news	January 2, 2022 3:55 pm	Legal fight on redistricting returning to the Supreme...	https://www.mi-reporter.com/news/legal-fight-on-redistricting-returning-to-the-supreme-court/	0	0
Cameron Sheppard	news	December 30, 2021 3:00 pm	Washington part of multi-state E. coli outbreak linked...	https://www.mi-reporter.com/news/washington-part-of-multi-state-e-coli-outbreak-linked-to-packaged-salads/	0	0
Henry Stewart-Wood	news	December 29, 2021 3:10 pm	King County scientists work to save chinook salmon	https://www.mi-reporter.com/news/king-county-scientists-work-to-save-chinook-salmon/	0	0
Henry Stewart-Wood	news	December 29, 2021 10:30 am	COVID-19 cases surge over Christmas weekend in King...	https://www.mi-reporter.com/news/covid-19-cases-surge-over-christmas-weekend-in-king-county/	0	0
Andy Nystrom	news	December 29, 2021 9:10 am	Mercer Island 2021: A year in review	https://www.mi-reporter.com/news/mercer-island-2021-a-year-in-review/	0	0
	news	December 29, 2021 1:30 am	Extended weather forecast for South King County, Dec....	https://www.mi-reporter.com/news/extended-weather-forecast-for-south-king-county-dec-29-to-jan-3/	0	0
Reporter Staff	news	December 27, 2021 2:00 pm	More snow expected this week in Mercer Island...	https://www.mi-reporter.com/news/more-snow-expected-this-week-in-mercer-island-and-king-county/	0	0
	news	December 26, 2021 8:30 am	Recology will collect holiday trees	https://www.mi-reporter.com/news/recology-will-collect-holiday-trees/	0	0
Reporter Staff	news	December 23, 2021 12:30 pm	The Grinch who stole holiday lawn decor |...	https://www.mi-reporter.com/news/the-grinch-who-stole-holiday-lawn-decor-mercer-island-police-blotter/	0	0
